planet_name,mass,radius,orbital_period_x,discovered_year,detection_type,star_name,star_distance,star_mass,star_radius,star_age,pl_hostname,pl_letter,orbital_period_y,eccentricity,planet_jup_mass,pl_dens,planet_earth_mass,observatory_name,telescope_name,moons_n,galactic_longitude,galactic_latitude,stellar_gravity
11 Com b,,,326.03,2008.0,Radial Velocity,11 Com,110.6,2.7,19.0,,11 Com,b,326.03,0.231,19.4,,6165.6,Xinglong Station,2.16 m Telescope,0.0,264.140892,78.28052199999999,2.31
11 Oph b,21.0,,730000.0,2007.0,Imaging,11 Oph,145.0,0.0162,,0.011000000000000001,,,,,,,,,,,,,
11 UMi b,,,516.22,2009.0,Radial Velocity,11 UMi,119.5,1.8,24.08,1.56,11 UMi,b,516.21997,0.08,14.74,,4684.8142,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,0.0,108.71898200000001,41.044515999999994,1.93
14 And b,,,185.84,2008.0,Radial Velocity,14 And,76.4,2.2,11.0,,14 And,b,185.84,0.0,4.8,,1525.5,Okayama Astrophysical Observatory,1.88 m Telescope,0.0,106.41155800000001,-21.05061,2.63
14 Her b,,,1773.4,2002.0,Radial Velocity,14 Her,18.1,0.9,0.708,5.1,14 Her,b,1773.4000199999998,0.37,4.66,,1481.0878,W. M. Keck Observatory,10 m Keck I Telescope,0.0,69.170376,46.944998999999996,4.45
16 Cyg B b,,,799.5,1996.0,Radial Velocity,16 Cyg B,21.41,1.01,0.98,8.0,16 Cyg B,b,798.5,0.68,1.78,,565.7374,Multiple Observatories,Multiple Telescopes,0.0,83.33646,13.204351999999998,4.36
18 Del b,,,993.3,2008.0,Radial Velocity,18 Del,73.1,2.3,8.5,,18 Del,b,993.3,0.08,10.3,,3273.5,Okayama Astrophysical Observatory,1.88 m Telescope,0.0,58.691433999999994,-21.974823999999998,2.82
1I/'Oumuamua,,2e-06,,2017.0,Imaging,Sun,,1.0,1.0,,,,,,,,,,,,,,
1RXS 1609 b,14.0,1.7,,2008.0,Imaging,1RXS 1609,145.0,0.73,1.35,0.011000000000000001,,,,,,,,,,,,,
1RXS J235133.3+312720 b,32.0,,,2012.0,Imaging,1RXS J235133.3+312720,,0.45,,0.1,,,,,,,,,,,,,
1SWASP J1407 b,,,3725.0,2012.0,Primary Transit,1SWASP J1407,133.0,0.9,0.99,0.016,,,,,,,,,,,,,
24 Boo b,,,30.3506,2018.0,Radial Velocity,24 Boo,100.0,0.99,10.64,6.92,24 Boo,b,30.3506,0.042,0.91,,289.2253,Okayama Astrophysical Observatory,1.88 m Telescope,0.0,90.162223,60.643666,2.42
24 Sex b,,,452.8,2010.0,Radial Velocity,24 Sex,72.2084,1.54,4.9,2.7,24 Sex,b,452.8,0.09,1.99,,632.46,Lick Observatory,3.0 m C. Donald Shane Telescope,0.0,245.085309,44.715734000000005,3.5
24 Sex c,,,883.0,2010.0,Radial Velocity,24 Sex,72.2084,1.54,4.9,2.7,24 Sex,c,883.0,0.29,0.86,,273.32,Lick Observatory,3.0 m C. Donald Shane Telescope,0.0,245.085309,44.715734000000005,3.5
2I/Borisov,,6.2e-05,,2019.0,Imaging,Sun,,1.0,1.0,,,,,,,,,,,,,,
2M 0103-55 (AB) b,13.0,,,2013.0,Imaging,2M 0103-55 (AB),47.2,0.4,,0.03,,,,,,,,,,,,,
2M 0122-24 b,20.0,1.0,,2013.0,Imaging,2M 0122-24,36.0,0.4,,0.12,,,,,,,,,,,,,
2M 0219-39 b,13.9,1.44,,2015.0,Imaging,2M 0219-39,39.4,0.11,0.27,,,,,,,,,,,,,,
2M 0441+23 b,7.5,,,2010.0,Imaging,2M 0441+23,140.0,0.02,,0.001,,,,,,,,,,,,,
2M 1938+46 b,1.9,,416.0,2015.0,Timing,2M  1938+46,,0.6,,,,,,,,,,,,,,,
2M 2140+16 b,20.0,0.92,7340.0,2010.0,Imaging,2M 2140+16,25.0,0.08,0.1,,,,,,,,,,,,,,
2M 2206-20 b,30.0,1.3,8686.0,2010.0,Imaging,2M 2206-20,26.67,0.13,0.11,,,,,,,,,,,,,,
2M 2236+4751 b,12.5,,,2016.0,Imaging,2M 2236+4751,63.0,0.6,,0.12,,,,,,,,,,,,,
2M J2126-81 b,13.3,,,2016.0,Imaging,TYC 9486-927-1,24.75,0.4,,0.027000000000000003,,,,,,,,,,,,,
2M0045+16,25.0,,,2019.0,Imaging,,15.4,,,,,,,,,,,,,,,,
2M0117-34,16.4,,,2019.0,Imaging,,39.02,,,,,,,,,,,,,,,,
2M1059-21 b,66.95,,690.0,2020.0,Astrometry,2M1059-21,31.81,0.81,,,,,,,,,,,,,,,
2M1207 A,60.0,,,2004.0,Imaging,,52.4,,,,,,,,,,,,,,,,
2M1207 b,5.0,,,2004.0,Imaging,,52.4,,,,,,,,,,,,,,,,
2M1510A a,40.0,1.57,20.901999999999997,2020.0,Primary Transit,,36.6,,,,,,,,,,,,,,,,
2M1510A b,39.3,1.57,20.901999999999997,2020.0,Primary Transit,,36.6,,,,,,,,,,,,,,,,
2MASS J00413538-5621127 A,30.0,,,2009.0,Imaging,,34.7133,,,,,,,,,,,,,,,,
2MASS J00413538-5621127 B,15.0,,126.0,2010.0,Imaging,,34.7133,,,,,,,,,,,,,,,,
2MASS J0249-0557 (AB) c,11.6,,,2018.0,Astrometry,,48.9,,,,,,,,,,,,,,,,
2MASS J0249-0557A,48.0,,,2018.0,Astrometry,,48.9,,,,,,,,,,,,,,,,
2MASS J0249-0557B,44.0,,,2018.0,Astrometry,,48.9,,,,,,,,,,,,,,,,
2MASS J10475385+2124234,42.0,,,1999.0,Imaging,,10.56,,,,,,,,,,,,,,,,
2MASS J11011926-7732383 A,50.0,,,2004.0,Imaging,,168.0,,,,,,,,,,,,,,,,
2MASS J11011926-7732383 B,30.0,,,2004.0,Imaging,,168.0,,,,,,,,,,,,,,,,
2MASS J11193254 AB,3.7,,32850.0,2017.0,Imaging,2MASS J11193254 AB,,,,0.01,,,,,,,,,,,,,
2MASS J1155-7919 b,10.0,,,2020.0,Imaging,2MASS J1155-7919,101.15,,,0.005,,,,,,,,,,,,,
2MASS J1450-7841 A,40.0,,,2017.0,Imaging,2MASS J1450-7841 B,75.0,0.04,,,,,,,,,,,,,,,
2MASS J1450-7841 B,40.0,,,2017.0,Imaging,2MASS J1450-7841 A,75.0,0.04,,,,,,,,,,,,,,,
2MASS J15344984-2952274 A,30.1,,,2008.0,Astrometry,,15.9,,,,,,,,,,,,,,,,
2MASS J15344984-2952274 B,28.2,,5550.0,2008.0,Astrometry,,15.9,,,,,,,,,,,,,,,,
2MASS J2250+2325 b,30.0,,,2017.0,Imaging,2MASS J2250+2325,41.5,,,0.15,,,,,,,,,,,,,
30 Ari B b,,,335.1,2009.0,Radial Velocity,30 Ari B,39.4,1.22,1.23,0.91,30 Ari B,b,335.10001,0.29,13.82,,4392.4106,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,0.0,151.476148,-32.309490999999994,4.43
38 Vir b,,,825.9,2016.0,Primary Transit,38 Vir,,1.18,1.45,1.9,,,,,,,,,,,,,
4 Uma b,,,269.3,2007.0,Radial Velocity,4 Uma,78.5,1.234,,4.604,,,,,,,,,,,,,
42 Dra b,,,479.1,2009.0,Radial Velocity,42 Dra,97.3,0.98,22.03,9.49,42 Dra,b,479.1,0.38,3.88,,1233.13,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,0.0,95.41917099999999,27.125611,1.71
47 Uma b,,,1078.0,1996.0,Radial Velocity,47 Uma,13.97,1.03,1.24,7.4,,,,,,,,,,,,,
47 Uma c,,,2391.0,2001.0,Radial Velocity,47 Uma,13.97,1.03,1.24,7.4,,,,,,,,,,,,,
47 Uma d,,,14002.0,2010.0,Radial Velocity,47 Uma,13.97,1.03,1.24,7.4,,,,,,,,,,,,,
51 Eri b,2.6,1.11,10260.0,2015.0,Imaging,51 Eri,29.4,1.75,,0.02,51 Eri,b,11688.0,0.45,,,,Gemini Observatory,8.19 m Gemini South Telescope,0.0,198.61262,-30.657612,
51 Peg b,0.47,1.9,4.2308,1995.0,Radial Velocity,51 Peg,14.7,1.11,1.266,4.0,51 Peg,b,4.230785,0.013000000000000001,0.47200000000000003,,150.009,Haute-Provence Observatory,1.93 m Telescope,0.0,90.062611,-34.727214000000004,4.33
55 Cnc b,0.84,,14.653139999999999,1996.0,Radial Velocity,55 Cnc,12.34,1.015,0.98,10.2,55 Cnc,b,14.651520000000001,0.0034,0.8306,,263.9785,Lick Observatory,3.0 m C. Donald Shane Telescope,0.0,196.794709,37.698968,4.45
55 Cnc c,,,44.373000000000005,2002.0,Radial Velocity,55 Cnc,12.34,1.015,0.98,10.2,55 Cnc,c,44.4175,0.02,0.1714,,54.4738,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.0,196.794709,37.698968,4.45
55 Cnc d,,,4867.0,2002.0,Radial Velocity,55 Cnc,12.34,1.015,0.98,10.2,55 Cnc,d,4825.0,0.019,3.878,,1232.493,Lick Observatory,3.0 m C. Donald Shane Telescope,0.0,196.794709,37.698968,4.45
55 Cnc e,0.027030000000000002,0.1737,0.7365478,2004.0,Primary Transit,55 Cnc,12.34,1.015,0.98,10.2,55 Cnc,e,0.736539,,0.025419999999999998,6.4,8.08,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.0,196.794709,37.698968,4.45
55 Cnc f,,,260.91,2007.0,Radial Velocity,55 Cnc,12.34,1.015,0.98,10.2,55 Cnc,f,262.0,0.305,0.141,,44.812,Multiple Observatories,Multiple Telescopes,0.0,196.794709,37.698968,4.45
6 Lyn b,68.8,,899.0,2008.0,Radial Velocity,6 Lyn,56.9,1.7,5.2,,6 Lyn,b,934.3,0.073,2.01,,638.8383,Okayama Astrophysical Observatory,1.88 m Telescope,0.0,156.971465,20.189874,3.19
61 Vir b,,,4.215,2009.0,Radial Velocity,61 Vir,8.52,0.95,0.94,8.96,61 Vir,b,4.215,0.12,0.016,,5.1,Multiple Observatories,Multiple Telescopes,0.0,311.859025,44.092636999999996,4.34
61 Vir c,,,38.021,2009.0,Radial Velocity,61 Vir,8.52,0.95,0.94,8.96,61 Vir,c,38.021,0.14,0.057,,18.2,Multiple Observatories,Multiple Telescopes,0.0,311.859025,44.092636999999996,4.34
61 Vir d,,,123.01,2009.0,Radial Velocity,61 Vir,8.52,0.95,0.94,8.96,61 Vir,d,123.01,0.35,0.07200000000000001,,22.9,Multiple Observatories,Multiple Telescopes,0.0,311.859025,44.092636999999996,4.34
7 CMA c,,,988.9,2019.0,Radial Velocity,7 CMa,19.75,1.52,2.3,,,,,,,,,,,,,,
7 CMa b,,,736.9,2011.0,Radial Velocity,7 CMa,19.75,1.52,2.3,,7 CMa,b,735.1,0.06,1.85,,587.9855,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,0.0,228.68839900000003,-11.796021000000001,3.19
70 Vir b,,,116.67,1996.0,Radial Velocity,70 Vir,22.0,0.92,1.9680000000000002,7.09,70 Vir,b,116.68799999999999,0.3988,7.416,,2357.0272800000002,Lick Observatory,3.0 m C. Donald Shane Telescope,0.0,337.665279,74.100664,3.95
75 Cet b,,,691.9,2012.0,Radial Velocity,75 Cet,81.5,2.49,10.5,,75 Cet,b,691.9,0.11699999999999999,3.0,,953.49,Okayama Astrophysical Observatory,1.88 m Telescope,0.0,169.94419399999998,-54.441590000000005,2.63
8 Umi b,,,93.4,2015.0,Radial Velocity,8 Umi,159.1,1.8,9.9,1.7,,,,,,,,,,,,,
81 Cet b,,,952.7,2008.0,Radial Velocity,81 Cet,97.2,2.4,11.0,,81 Cet,b,952.7,0.20600000000000002,5.3,,1684.4,Okayama Astrophysical Observatory,1.88 m Telescope,0.0,174.486548,-55.249930000000006,2.35
91 Aqr b,,,181.4,2003.0,Radial Velocity,91 Aqr,45.9,1.4,11.0,3.56,91 Aqr,b,181.4,0.027000000000000003,3.2,,1017.0,Lick Observatory,0.6 m Coude Auxiliary Telescope,0.0,67.071988,-61.112023,2.52
AB Dor C b,13.0,,,2019.0,Imaging,AB Dor C,15.8,0.07200000000000001,,,,,,,,,,,,,,,
AB Pic b,13.5,,,2005.0,Imaging,AB Pic,47.3,,,0.03,AB Pic,b,,,13.5,,4290.5,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,0.0,266.943713,-26.930799,
AD 3116 b,54.2,1.02,1.982796,2017.0,Primary Transit,AD 3116,186.54,0.276,0.29,,,,,,,,,,,,,,
AS 205 A b,,,24.84,2017.0,Radial Velocity,AS 205A,140.0,0.9,3.7,,,,,,,,,,,,,,
AU Mic b,0.18,0.375,8.46321,,Primary Transit,AU Mic,9.79,0.5,0.75,0.022000000000000002,AU Mic,b,8.46321,0.1,0.18,4.4,57.2094,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,0.0,12.654539,-36.802415,
BD+03 2562 b,,,481.9,2017.0,Radial Velocity,BD+03 2562,2618.0,1.14,32.35,5.25,BD+03 2562,b,481.9,0.2,6.4,,2034.112,Multiple Observatories,Multiple Telescopes,0.0,269.32535099999996,61.573487,1.89
BD+14 4559 b,,,268.94,2009.0,Radial Velocity,BD+14 4559,50.0,0.86,,,BD+14 4559,b,268.94,0.29,1.04,,330.5432,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.0,64.41765500000001,-22.630868,4.26
BD+15 2375 b,,,153.22,2016.0,Radial Velocity,BD+15 2375,774.0,1.08,8.95,7.4,BD+15 2375,b,153.22,0.001,1.061,,337.21763,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,0.0,249.00238599999997,70.272589,2.61
BD+15 2940 b,,,137.48,2013.0,Radial Velocity,BD+15 2940,585.0,1.1,14.7,7.1,BD+15 2940,b,137.48,0.26,1.11,,352.78,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.0,28.104434,44.780297,2.8
BD+20 2457 b,,,379.63,2009.0,Radial Velocity,BD+20 2457,200.0,2.8,,,BD+20 2457,b,379.63,0.15,55.59,,17668.1697,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.0,216.04463700000002,53.952466,1.77
BD+20 2457 c,,,621.99,2009.0,Radial Velocity,BD+20 2457,200.0,2.8,,,BD+20 2457,c,621.99,0.18,12.47,,3963.17,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.0,216.04463700000002,53.952466,1.77
BD+20 274 c,,,578.2,2012.0,Radial Velocity,BD+20 274,,0.8,17.3,,,,,,,,,,,,,,
BD+20 594 b,0.0513,0.19899999999999998,41.6855,2016.0,Primary Transit,BD+20 594,152.1,0.961,0.9279999999999999,3.34,BD+20 594,b,41.6855,0.0,0.07,,22.2481,K2,0.95 m Kepler Telescope,0.0,166.796349,-28.053358000000003,4.5
BD+24 4697 b,,,145.08100000000002,2016.0,Radial Velocity,BD+24 4697,44.7922,0.75,,,,,,,,,,,,,,,
BD+26 1888 b,,,536.78,2016.0,Radial Velocity,BD+26 1888,38.0,0.76,,,,,,,,,,,,,,,
BD+48 738 b,,,392.6,2011.0,Radial Velocity,BD +48 738,,0.74,11.0,,BD+48 738,b,392.6,0.2,0.91,,289.2253,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.0,140.808446,-9.378616000000001,2.24
BD+48 740 b,,,733.0,2012.0,Default,BD+48 740,735.0,1.09,10.33,,BD+48 740,b,733.0,0.76,1.7,,540.311,Multiple Observatories,Multiple Telescopes,0.0,141.109069,-9.96525,2.48
BD+49 828 b,,,2590.0,2015.0,Radial Velocity,BD+49 828,,1.52,7.6,2.3,BD+49 828,b,2590.0,0.35,1.6,,508.5,McDonald Observatory,9.2 m Hobby-Eberly Telescope,0.0,143.61786,-7.8016190000000005,2.85
BD-06 1339 b,,,3.8728,2013.0,Radial Velocity,BD-06 1339,20.0,0.7,,4.4,BD-06 1339,b,3.8728,0.0,0.027000000000000003,,8.5,La Silla Observatory,3.6 m ESO Telescope,0.0,211.656623,-15.715292000000002,4.74
BD-06 1339 c,,,125.26,2013.0,Radial Velocity,BD-06 1339,20.0,0.7,,4.4,BD-06 1339,c,125.94,0.31,0.17,,53.0,La Silla Observatory,3.6 m ESO Telescope,0.0,211.656623,-15.715292000000002,4.74
BD-06 1339 d,,,487.0,2014.0,Radial Velocity,BD-06 1339,20.0,0.7,,4.4,,,,,,,,,,,,,
BD-08 2823 b,,,5.6,2009.0,Radial Velocity,BD-08 2823,42.2,0.74,,4.5,BD-08 2823,b,5.6,0.15,0.04,,12.7132,La Silla Observatory,3.6 m ESO Telescope,0.0,248.496598,34.756008,4.43
BD-08 2823 c,,,237.6,2009.0,Radial Velocity,BD-08 2823,42.2,0.74,,4.5,BD-08 2823,c,237.6,0.19,0.33,,104.0,La Silla Observatory,3.6 m ESO Telescope,0.0,248.496598,34.756008,4.43
BD-10 3166 b,,1.03,3.4878,2000.0,Radial Velocity,BD-10 3166,66.0,0.99,1.71,4.18,BD-10 3166,b,3.48777,0.02,0.59,,187.5197,W. M. Keck Observatory,10 m Keck I Telescope,0.0,263.285621,43.238484,4.69
BD-11 4672 b,,,1634.0,2010.0,Radial Velocity,BD-11 4672,27.3,0.5710000000000001,0.52,4.4,BD-11 4672,b,1634.0,0.05,0.65,,206.5895,La Silla Observatory,3.6 m ESO Telescope,0.0,20.544276,-1.360142,4.64
BD-11 4672 c,,,74.2,2020.0,Radial Velocity,BD-11 4672,27.3,0.5710000000000001,0.52,4.4,BD-11 4672,c,74.2,0.4,0.04836,,15.37,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,0.0,20.544276,-1.360142,4.64
BD-17 63 b,,,655.6,2008.0,Radial Velocity,BD-17 63,34.6,0.74,0.69,4.3,BD-17 63,b,655.6,0.54,5.1,,1620.9,La Silla Observatory,3.6 m ESO Telescope,0.0,95.83866,-77.878025,4.26
Barnard's  b,,,232.8,2018.0,Radial Velocity,Barnard's star,1.8,0.163,0.17800000000000002,8.5,,,,,,,,,,,,,
CD Cet b,0.012440000000000001,,2.2907,2020.0,Radial Velocity,CD Cet,8.609,0.161,0.175,3.0,,,,,,,,,,,,,
CD-35 2722 b,31.0,,,2011.0,Imaging,CD-35 2722,21.3,0.4,,0.1,,,,,,,,,,,,,
CFBD 1458 B,10.5,,,2011.0,Imaging,,23.1,,,,,,,,,,,,,,,,
CFBDS 1458 A,24.1,,,2010.0,Imaging,,23.1,,,,,,,,,,,,,,,,
CFBDS0059,22.5,,,2008.0,Imaging,,13.0,,,,,,,,,,,,,,,,
CFBDSIR J2149-0403 b,21.0,,,2017.0,Imaging,CFBDSIR J2149-0403,55.2,,,,,,,,,,,,,,,,
CHXR 73 b,12.0,,,2006.0,Imaging,CHXR 73,,0.35,,0.002,CHXR 73,b,,,12.569,,3994.486,Hubble Space Telescope,2.4 m Hubble Space Telescope,0.0,297.277725,-15.921642000000002,
CI Tau b,11.6,,8.9891,2016.0,Radial Velocity,CI Tau,158.0,0.9,,0.002,CI Tau,b,8.9891,0.25,11.6,,3686.828,Multiple Observatories,Multiple Telescopes,0.0,175.464296,-16.635982000000002,
CT Cha b,17.0,2.2,,2008.0,Imaging,CT Cha,165.0,,,0.002,CT Cha,b,,,17.0,,5403.0,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,0.0,296.653702,-14.909141,
CWISEP J1935-1546,11.0,,,2019.0,Imaging,,10.1,,,,,,,,,,,,,,,,
Cha Ha 8 b,,,1895.0,2007.0,Radial Velocity,Cha Ha 8,196.76,0.085,,0.003,,,,,,,,,,,,,
CoRoT-1 b,1.03,1.49,1.5089556999999998,2007.0,Primary Transit,CoRoT-1,460.0,0.95,1.11,,CoRoT-1,b,1.5089556999999998,0.0,1.03,0.38,327.35,CoRoT,0.27 m CoRoT Telescope,0.0,215.33887099999998,-2.107038,4.25
CoRoT-10 b,2.75,0.97,13.2406,2010.0,Primary Transit,CoRoT-10,345.0,0.89,0.79,3.0,CoRoT-10,b,13.2406,0.53,2.75,3.7,874.0,CoRoT,0.27 m CoRoT Telescope,0.0,37.36077,-6.952866,4.65
CoRoT-11 b,2.33,1.43,2.994325,2010.0,Primary Transit,CoRoT-11,560.0,1.27,1.36,2.0,CoRoT-11,b,2.9943299999999997,0.0,2.33,0.99,740.51,CoRoT,0.27 m CoRoT Telescope,0.0,37.240052,4.630184,4.22
CoRoT-12 b,0.917,1.44,2.828042,2010.0,Primary Transit,CoRoT-12,1150.0,1.078,1.1159999999999999,6.3,CoRoT-12,b,2.828042,0.07,0.917,0.41100000000000003,291.438,CoRoT,0.27 m CoRoT Telescope,0.0,213.13157900000002,-2.454352,4.38
CoRoT-13 b,1.308,0.885,4.03519,2010.0,Primary Transit,CoRoT-13,1310.0,1.09,1.01,1.64,CoRoT-13,b,4.03519,0.0,1.308,2.34,415.704,CoRoT,0.27 m CoRoT Telescope,0.0,217.398629,-2.439602,4.46
CoRoT-14 b,7.6,1.09,1.51214,2010.0,Primary Transit,CoRoT-14,1340.0,1.13,1.21,4.2,CoRoT-14,b,1.51214,0.0,7.6,7.3,2415.4,CoRoT,0.27 m CoRoT Telescope,0.0,218.117909,-2.02052,4.35
CoRoT-15 b,63.4,1.12,3.0603599999999997,2010.0,Primary Transit,CoRoT-15,,,,,,,,,,,,,,,,,
CoRoT-16 b,0.535,1.17,5.35227,2010.0,Primary Transit,CoRoT-16,840.0,1.0979999999999999,1.19,6.73,CoRoT-16,b,5.35227,0.33,0.535,0.44,170.032,CoRoT,0.27 m CoRoT Telescope,0.0,25.61429,1.101176,4.36
CoRoT-17 b,2.43,1.02,3.768125,2010.0,Primary Transit,CoRoT-17,920.0,1.04,1.59,10.7,CoRoT-17,b,3.7681,0.0,2.43,2.82,772.29,CoRoT,0.27 m CoRoT Telescope,0.0,25.152987,0.666416,4.4
CoRoT-18 b,3.47,1.31,1.9000693,2011.0,Primary Transit,CoRoT-18,870.0,0.95,1.0,,CoRoT-18,b,1.9000693,0.08,3.47,2.2,1102.82,CoRoT,0.27 m CoRoT Telescope,0.0,210.819116,-4.184836,4.4
CoRoT-19 b,1.11,1.29,3.89713,2011.0,Primary Transit,CoRoT-19,800.0,1.21,1.65,5.0,CoRoT-19,b,3.89713,0.047,1.11,0.71,352.78,CoRoT,0.27 m CoRoT Telescope,0.0,210.42055499999998,-5.261174,4.07
CoRoT-2 b,3.31,1.465,1.7429964,2007.0,Primary Transit,CoRoT-2,300.0,0.97,0.902,,CoRoT-2,b,1.7429935,0.0143,3.47,1.47,1102.82,CoRoT,0.27 m CoRoT Telescope,0.0,38.262664,-7.29091,
CoRoT-20 b,4.24,0.84,9.24285,2011.0,Primary Transit,CoRoT-20,1230.0,1.14,0.92,0.1,CoRoT-20,b,9.24285,0.59,4.3,,1366.6689999999999,CoRoT,0.27 m CoRoT Telescope,0.0,210.381237,-4.468533,
CoRoT-21 b,2.26,1.3,2.72474,2011.0,Primary Transit,CoRoT-21,,1.29,1.945,4.1,CoRoT-21,b,2.72474,0.0,2.26,1.36,718.2958,CoRoT,0.27 m CoRoT Telescope,0.0,212.37408599999998,-1.7445419999999998,3.7
CoRoT-22 b,0.06,0.4354,9.755980000000001,2011.0,Primary Transit,CoRoT-22,592.0,1.099,1.136,3.3,CoRoT-22,b,9.755980000000001,0.077,0.038,0.249,12.2,CoRoT,0.27 m CoRoT Telescope,0.0,37.482976,4.775094,4.36
CoRoT-23 b,2.8,1.08,3.6314,2011.0,Primary Transit,CoRoT-23,600.0,1.14,1.61,7.2,CoRoT-23,b,3.6313,0.16,2.8,3.0,889.9,CoRoT,0.27 m CoRoT Telescope,0.0,35.417464,4.719742,4.3
CoRoT-24 b,0.018000000000000002,0.33,5.1134,2011.0,Primary Transit,CoRoT-24,600.0,0.91,0.86,11.0,CoRoT-24,b,5.1134,0.0,0.018000000000000002,0.9,5.7,CoRoT,0.27 m CoRoT Telescope,0.0,215.81748900000002,-2.5275689999999997,4.55
CoRoT-24 c,0.08800000000000001,0.44,11.759,2011.0,Primary Transit,CoRoT-24,600.0,0.91,0.86,11.0,CoRoT-24,c,11.759,0.0,0.08800000000000001,1.3,28.0,CoRoT,0.27 m CoRoT Telescope,0.0,215.81748900000002,-2.5275689999999997,4.55
CoRoT-25 b,0.27,1.08,4.86069,2012.0,Primary Transit,CoRoT-25,1000.0,1.09,1.19,5.2,CoRoT-25,b,4.86069,0.0,0.27,0.15,85.81,CoRoT,0.27 m CoRoT Telescope,0.0,37.730101,4.941217,4.31
CoRoT-26 b,0.52,1.26,4.20474,2012.0,Primary Transit,CoRoT-26,1670.0,1.09,1.79,8.6,CoRoT-26,b,4.20474,0.0,0.52,0.28,165.26,CoRoT,0.27 m CoRoT Telescope,0.0,37.744489,5.926071,3.99
CoRoT-27 b,10.39,1.0070000000000001,3.5753199999999996,2012.0,Primary Transit,CoRoT-27,,1.05,1.08,4.21,CoRoT-27,b,3.5753199999999996,0.065,10.39,12.6,3302.11,CoRoT,0.27 m CoRoT Telescope,0.0,35.894565,6.396628,4.4
CoRoT-28 b,,0.955,5.2085099999999995,2012.0,Primary Transit,CoRoT-28,560.0,1.01,1.78,12.0,CoRoT-28,b,5.2085099999999995,0.047,0.484,0.69,153.82972,CoRoT,0.27 m CoRoT Telescope,0.0,36.013038,6.241398,3.6
CoRoT-29 b,0.85,0.9,2.8505700000000003,2012.0,Primary Transit,CoRoT-29,765.0,0.976,0.9,4.5,CoRoT-29,b,2.8505700000000003,0.08199999999999999,0.85,1.45,270.1555,CoRoT,0.27 m CoRoT Telescope,0.0,36.923396000000004,6.458815,4.3
CoRoT-3 b,21.66,1.19,4.2567994,2008.0,Primary Transit,CoRoT-3,680.0,1.41,1.44,2.0,CoRoT-3,b,4.2568,0.0,21.66,26.4,6883.91,CoRoT,0.27 m CoRoT Telescope,0.0,37.262944,-8.120552,4.22
CoRoT-30 b,2.9,1.0090000000000001,9.06005,2017.0,Primary Transit,CoRoT-30,960.0,0.98,0.91,3.0,CoRoT-30,b,9.06005,0.006999999999999999,2.9,3.45,921.707,CoRoT,0.27 m CoRoT Telescope,0.0,36.660893,7.773712,4.4
CoRoT-31 b,0.84,1.46,4.62941,2017.0,Primary Transit,CoRoT-31,2190.0,1.25,2.15,4.7,CoRoT-31,b,4.62941,0.02,0.84,0.33,266.9772,CoRoT,0.27 m CoRoT Telescope,0.0,213.224919,-9.163145,3.85
CoRoT-32 b,0.15,0.57,6.718369999999999,2017.0,Primary Transit,CoRoT-32,,1.09,0.79,,,,,,,,,,,,,,
CoRoT-33 b,59.2,1.1,5.819143,2015.0,Primary Transit,CoRoT-33,,0.86,0.94,4.6,,,,,,,,,,,,,
CoRoT-4 b,0.72,1.19,9.20205,2008.0,Primary Transit,CoRoT-4,,1.1,1.15,1.0,CoRoT-4,b,9.20205,0.0,0.72,0.525,228.83,CoRoT,0.27 m CoRoT Telescope,0.0,213.22762799999998,-0.898357,4.41
CoRoT-5 b,0.467,1.33,4.0378962,2008.0,Primary Transit,CoRoT-5,400.0,1.0,1.186,6.9,CoRoT-5,b,4.0378962,0.09,0.467,0.217,148.42,CoRoT,0.27 m CoRoT Telescope,0.0,211.48473700000002,-1.036103,4.19
CoRoT-6 b,2.96,1.166,8.886593,2009.0,Primary Transit,CoRoT-6,,1.055,1.025,,CoRoT-6,b,8.886593,0.1,2.96,2.32,940.74,CoRoT,0.27 m CoRoT Telescope,0.0,38.062962,4.615925,4.43
CoRoT-7 b,0.0149,0.136,0.853585,2009.0,Primary Transit,CoRoT-7,150.0,0.93,0.87,1.5,CoRoT-7,b,0.85359163,0.0,0.01,,3.1783,CoRoT,0.27 m CoRoT Telescope,0.0,213.01046000000002,-2.178513,4.5
