planet_name,mass,radius,orbital_period_x,discovered_year,detection_type,star_name,star_distance,star_mass,star_radius,star_age,pl_hostname,pl_letter,orbital_period_y,eccentricity,planet_jup_mass,pl_dens,planet_earth_mass,observatory_name,telescope_name,moons_n,galactic_longitude,galactic_latitude,stellar_gravity
Kepler-35 (AB) b,0.1268,0.728,131.458,2012.0,Primary Transit,Kepler-35 (AB),1645.0,1.6971,1.0,,,,,,,,,,,,,,
Kepler-350 b,,0.165,11.189561999999999,2014.0,Primary Transit,Kepler-350,,1.03,1.33,,Kepler-350,b,11.189561999999999,,,,,Kepler,0.95 m Kepler Telescope,0.0,70.172851,15.112964000000002,4.15
Kepler-350 c,0.0176,0.27699999999999997,17.849,2013.0,Primary Transit,Kepler-350,,1.03,1.33,,Kepler-350,c,17.849,,0.019,,6.1,Kepler,0.95 m Kepler Telescope,0.0,70.172851,15.112964000000002,4.15
Kepler-350 d,0.048,0.25,26.136,2013.0,Primary Transit,Kepler-350,,1.03,1.33,,Kepler-350,d,26.136,,0.047,,14.9,Kepler,0.95 m Kepler Telescope,0.0,70.172851,15.112964000000002,4.15
Kepler-351 b,,0.273,37.054919,2014.0,Primary Transit,Kepler-351,,0.89,0.85,,Kepler-351,b,37.054919,,,,,Kepler,0.95 m Kepler Telescope,0.0,73.30626099999999,15.543220999999999,4.56
Kepler-351 c,,0.285,57.248090000000005,2014.0,Primary Transit,Kepler-351,,0.89,0.85,,Kepler-351,c,57.248090000000005,,,,,Kepler,0.95 m Kepler Telescope,0.0,73.30626099999999,15.543220999999999,4.56
Kepler-351 d,,0.243,142.54424699999998,2016.0,Primary Transit,Kepler-351,,0.89,0.85,,Kepler-351,d,142.54424699999998,,,,,Kepler,0.95 m Kepler Telescope,0.0,73.30626099999999,15.543220999999999,4.56
Kepler-352 b,,0.077,10.05537,2014.0,Primary Transit,Kepler-352,,0.79,0.78,,Kepler-352,b,10.05537,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.79763100000001,8.472159,4.57
Kepler-352 c,,0.111,16.332995,2014.0,Primary Transit,Kepler-352,,0.79,0.78,,Kepler-352,c,16.332995,,,,,Kepler,0.95 m Kepler Telescope,0.0,80.79763100000001,8.472159,4.57
Kepler-353 b,,0.079,5.795278,2014.0,Primary Transit,Kepler-353,,0.54,0.5,,Kepler-353,b,5.795278,,,,,Kepler,0.95 m Kepler Telescope,0.0,75.933049,8.227385,4.75
Kepler-353 c,,0.12300000000000001,8.410894,2014.0,Primary Transit,Kepler-353,,0.54,0.5,,Kepler-353,c,8.410894,,,,,Kepler,0.95 m Kepler Telescope,0.0,75.933049,8.227385,4.75
Kepler-354 b,,0.16399999999999998,5.47666,2014.0,Primary Transit,Kepler-354,,0.65,0.67,,Kepler-354,b,5.47666,,,,,Kepler,0.95 m Kepler Telescope,0.0,71.831537,15.512547,4.63
Kepler-354 c,,0.11699999999999999,16.934402,2014.0,Primary Transit,Kepler-354,,0.65,0.67,,Kepler-354,c,16.934402,,,,,Kepler,0.95 m Kepler Telescope,0.0,71.831537,15.512547,4.63
Kepler-354 d,,0.111,24.209842000000002,2014.0,Primary Transit,Kepler-354,,0.65,0.67,,Kepler-354,d,24.209842000000002,,,,,Kepler,0.95 m Kepler Telescope,0.0,71.831537,15.512547,4.63
Kepler-355 b,,0.13,11.031889999999999,2014.0,Primary Transit,Kepler-355,,1.05,1.07,,Kepler-355,b,11.031889999999999,,,,,Kepler,0.95 m Kepler Telescope,0.0,73.262563,16.045354,4.44
